"GEOID","NAME","variable","estimate","moe","Year"
"26","Michigan","B01003_001",9886095,NA,2013
"27","Minnesota","B01003_001",5347740,NA,2013
"28","Mississippi","B01003_001",2976872,NA,2013
"29","Missouri","B01003_001",6007182,NA,2013
"30","Montana","B01003_001",998554,NA,2013
"31","Nebraska","B01003_001",1841625,NA,2013
"32","Nevada","B01003_001",2730066,NA,2013
"33","New Hampshire","B01003_001",1319171,NA,2013
"34","New Jersey","B01003_001",8832406,NA,2013
"35","New Mexico","B01003_001",2069706,NA,2013
"36","New York","B01003_001",19487053,NA,2013
"37","North Carolina","B01003_001",9651380,NA,2013
"38","North Dakota","B01003_001",689781,NA,2013
"39","Ohio","B01003_001",11549590,NA,2013
"40","Oklahoma","B01003_001",3785742,NA,2013
"41","Oregon","B01003_001",3868721,NA,2013
"42","Pennsylvania","B01003_001",12731381,NA,2013
"44","Rhode Island","B01003_001",1051695,NA,2013
"45","South Carolina","B01003_001",4679602,NA,2013
"46","South Dakota","B01003_001",825198,NA,2013
"47","Tennessee","B01003_001",6402387,NA,2013
"48","Texas","B01003_001",25639373,NA,2013
"49","Utah","B01003_001",2813673,NA,2013
"50","Vermont","B01003_001",625904,NA,2013
"51","Virginia","B01003_001",8100653,NA,2013
"53","Washington","B01003_001",6819579,NA,2013
"54","West Virginia","B01003_001",1853619,NA,2013
"55","Wisconsin","B01003_001",5706871,NA,2013
"56","Wyoming","B01003_001",570134,NA,2013
"72","Puerto Rico","B01003_001",3682966,NA,2013
"01","Alabama","B01003_001",4817678,NA,2014
"02","Alaska","B01003_001",728300,NA,2014
"04","Arizona","B01003_001",6561516,NA,2014
"05","Arkansas","B01003_001",2947036,NA,2014
"06","California","B01003_001",38066920,NA,2014
"08","Colorado","B01003_001",5197580,NA,2014
"09","Connecticut","B01003_001",3592053,NA,2014
"10","Delaware","B01003_001",917060,NA,2014
"11","District of Columbia","B01003_001",633736,NA,2014
"12","Florida","B01003_001",19361792,NA,2014
"13","Georgia","B01003_001",9907756,NA,2014
"15","Hawaii","B01003_001",1392704,NA,2014
"16","Idaho","B01003_001",1599464,NA,2014
"17","Illinois","B01003_001",12868747,NA,2014
"18","Indiana","B01003_001",6542411,NA,2014
"19","Iowa","B01003_001",3078116,NA,2014
"20","Kansas","B01003_001",2882946,NA,2014
"21","Kentucky","B01003_001",4383272,NA,2014
"22","Louisiana","B01003_001",4601049,NA,2014
"23","Maine","B01003_001",1328535,NA,2014
"24","Maryland","B01003_001",5887776,NA,2014
"25","Massachusetts","B01003_001",6657291,NA,2014
"26","Michigan","B01003_001",9889024,NA,2014
